0,"I don't sing for anyone in particular. Still, if someone stops to listen, I hope it provides a moment of peace all the same."
1,"Would you like to go moon gazing? You can sit in my rocking chair and admire the feel. Or we could go to the moon and gaze down at the fat. Whatever you prefer."
2,"I used to take long walks in Silver Moon Hall every day, so don't worry about me, I can keep up."
3,"You can call me Columbina, or Coutar, or Moon Goddess, whatever you prefer. I'm used to having many names. The Moon's blessing is yours, whenever you might find yourself in need."
4,"Taking shelter and listening to the rain cleans the earth makes me feel safe, like being home."
5,"The sky is clear again. We should be able to see the moon tonight."
6,"Ugh! Without lightning to give warning, the sound of thunder is quite startling."
7,"I love the snow. It's so beautiful and peaceful, and I can have snowball fights with the kuhangi. Shall we have one now?"
8,"If the wind is too strong to keep your eyes open, give me your hand, I'll guide you."
9,"The sand is cool and comfortable to walk on at night, but it gets so hot during the day."
10,"Good morning. Have you seen my hair tie? Hmm? My hair looks messy. Which part? Could you brush it for me?"
11,"Hmm... the moon hasn't risen yet. I think I'll take a nap with the kuhanki."
12,"Nightfall. Quite an interesting expression, don't you think? It's as if night tumbles in evening, tripping over the moon."
13,"Can't sleep? Hmm. The Kuhanki have that problem too sometimes. When that happens, I usually sing to them or tell them stories. Would you like me to do that for you?"
14,"I'm used to sensing things with Kuvaki. It reveals the truth of things better than seeing dust. Still, curiosity does sometimes get the better of me, and I open my eyes to take a peek. That's a nice thing about having an eye mask with holes."
15,"I used to think I would forever be a stranger to this land, that the moon was my true home. Now, I have an additional place to call home, and both my homes are now closer by."
16,"I heard about you long before we met. Back when I was with the Fatui, I remember the other Harbanger's talking about your deeds. But you have so many titles I fell asleep before they even got to your name."
17,"Could you give me some tips for traveling? Like, how to talk to people from other nations? Hmm? I should focus more on fire building skills, hunting techniques, and transport. Huh. Couldn't I just use Kuvaki for all that?"
18,"The three goddesses bestowed their powers upon me, which converged into a forest that is both dazzling and gentle. Through it, I can feel their attachment to this place, and I can sense the hopes and wishes they offered to this world in their final moments. I will inherit their moon light and use it to illuminate the world beneath the moon. Please, we are called home."
19,"back in Snezgnaia, being third of the Fatturi Harbingers came with a lot of perks. I didn't need to purchase a ticket for the train, or stand in line for the Coralievsky Troop. Ah, and when I dined at a restaurant, I could get… Reim… first. That was a bit too complicated for me to understand, though, so I just tagged along with Santrone or Alicino instead."
20,"The moon is more beautiful than I could have imagined. Blue kuvaki flowing like an endless ocean. Magnificent jellyfish drifting across the sea. Pink frostfin whales coming from places unknown. Enormous kuhanki. It's magnificent. Once I've made my home a bit more presentable, I'll invite my friends up to visit."
21,"Aiming a beam of moon light at Lama's head makes her antlers grow taller. And if you get the angle just right, you can even get them to stab a piece of fruit that's too high to reach. Hmm? What then? Oh, um, you get scolded."
22,"Oh, we kept in touch until a short while ago. I asked her to recommend some books for me to read to the Kuhengi. She sent a whole lot and even gave me detailed explanations about the inspiration and setting for each one. I asked her when I might be able to read a book she had authored herself, but then I suddenly stopped hearing from her. Perhaps she went off to write one."
23,"The Hydro Dragon, who serves as the Udax of Fontaine? Hmm... Another Dragon, who puts people in prison. I'm not sure I'd want to meet him."
24,"If we cross paths during my journey, I'll be sure to say hello."
25,"The first time I sang in the gardens of Sapoliarni Palace, that Sarita happened to pass by, she stood there, silent and motionless, like a statue with no expression carved onto the face. For a moment, I felt as if she wanted to say something to me, but she never did. She seals her emotions beneath thick sheets of ice. The outside world sees but one side of who she is, that of the Tsarita. If the answer's I saw it rest on the moon, perhaps hers lie buried in snow and ice."
26,"He's quite the opposite of his code name, and that seems to be intentional. Although he's known as the Jester, his tone is stern and serious, and he speaks in confusing riddles. The mask he wears depicts a grin that mocks the world. But he himself never smiles."
27,"Many respect him, but just as many fear him, hmm? Is that too confusing? Well, you see, creatures accustomed to living in darkness will never choose to get close to the light. It's too dangerous, for light would only lengthen their own shadow."
28,"There was a time when the doctor took care of me, even claiming to think of me as a sister. It was only later that I discovered the closer you are to him, the more freely he uses you. What's a little discomfort among family? We endure for each other, surely. That's how he thought of things, and I could tell he meant it, but I didn't want to have to endure. Expectations like that, they took me back to my first home, and the eyes staring up at me from beneath the altar, so full of greed."
29,"The house of the heart is home to many children, and it can get quite noisy. The first time I heard them call Arthur Kino Father, I thought it was a rule that had to be followed there. So, the next time she passed by, I used that title as well. That's when I learned just how quiet the house of the heart could become."
30,"I can teach you to talk just like him. All you have to do is combine the words money, that darn pantalone, and mark my words. Here, I'll show you. Where's the money? Mark my words. I'm going to kill that darn pantalone. Or, that darn pantalone is going to cough up the money. Mark my words. See? Isn't that fascinating?"
31,"I wonder, does the key on her back ever stop turning? Does it change direction? Does she remove it when she sleeps? How does she roll over? I've been curious about that key ever since I first met her. But since we weren't close then, it didn't seem right to just go up and touch it. So whenever I had the chance, I would follow behind her, trying to figure out the pattern of its movement. But one day, she suddenly turned around and the manager knew why I kept following her. After I told her the reason, she said, If you're that curious, why don't I put one on your back, and you can see for yourself? So I lived with a key on my back for a few days, and it was quite the challenge. Drona doesn't have it easy, so I've looked out for her even more since then."
32,"I'm not sure what counts as death for a puppet. All I know is, Centrone isn't moving, and I can't feel her operating. Her key is just... stopped. And all because of the technique she used to bring me back. She said she was going to get back at me that one time. How I wish that's all this was. Just an attempt to scare me."
33,"In his eyes, everything in everyone has a price tag, and he gets to decide their value. We're all just bargaining chips he can use to expand his ever-increasing empire of wealth. But who would want to visit a boring empire like that? Not me, that's for sure. If he saw me now, I'm sure his smile would hide even more contempt than before. I can almost hear it now. Congratulations, Miss Columbina. Your value has appreciated."
34,"If Metamorphosis ends in one's wings being engulfed in flame, perhaps remaining in the cocoon is how once her fives, but I doubt Rosalene ever considered making that choice, or perhaps she had determined her own end from the very beginning. Whether it was love, hate, or a simple dance, she gave her whole self to her pursuits and and left others to sing her dirge after her departure."
35,"I've heard he has a good relationship with his family. They go camping together and have barbecues by the lake. Sandrone says he's the harbinger who lives most like an ordinary person. I don't really understand ordinary people. But that kind of life sounds nice to me."
36,"Huh? My story? Um, that might take quite a while to tell. Oh, you brought tea and snacks? Well then, I suppose I could share a bit more in return."
37,"I used to spend a lot of time learning how to interact with people and go about life in this world. But looking back now, perhaps my experiences with the Frostmoon Sions and the Fatui weren't the best teachers. For a long time, I thought relationships were transactional. Their only purpose being figuring out what you can take and what it might cost you in return."
38,"I love telling stories to the Kuhanki, and I love to sing. There's a blank space in my life that has existed since before I was born, and has shadowed me since. My story was incomplete from the start, so I've learned to use other stories to fill in the gaps. It's like painting a picture. I sketch the outline with words and color it in with song."
39,"On Moon prior night, I received a name that belongs to me, Columbina hyposelinia. I used to think the name was nothing more than an alias, something separate from oneself. But after that night, I realized my name is what connects me to this world and the people within it. It is all that is intangible, their friendship, love and support, manifested for the world to see. See, I will cherish it forever."
40,"My story is like an opera played in reverse. The ending came first, and I was left searching for the wise and wherefores. But if I could go back and do it all over again, I wouldn't change a thing. I quite like it as it is now. Without this journey, I never would have known that being born in not cry was my own choice. My friends never would have helped me connect with my true family. And you never would have followed Luana Tarn to Silvermoon Hall that night. My story would have been empty in a very different way. I don't like that version one bit."
41,"I like to go up to the moon and watch to fat revolve in silence. It brings me peace."
42,"I wish I could take a stroll in Nausha town like a normal person. But I keep getting recognized. Is it my outfit? Or the fact that I talk to the Kuhanki in town? Do normal people not do that?"
43,"Fresh fruit, and vegetables paired with fragrant bread, hmm? Oh, well, I suppose it is a bit plain, but I'm used to it. It's what the Frostmoon Sions gave me when I was first born and not cry. The little animals often shared their forged berries with me too. I prefer food in its most natural state. It allows you to get a glimpse of the world as it's meant to be"
44,"Firewater and other strong spirits. Snesnaya has a lot of drinks like that. I was there for a long time, but I never got used to them. The world starts to spin and you feel like your insides are on fire. I just don't understand why people enjoy that feeling. Unless... do they want to float up to the moon, too?"
45,"More, please? Hmm? Oh, was that all? I'll have to remember to save some next time."
46,"It's quite pleasant, I'll save for it beneath the moonlight."
47,"Oh, whenever Sandra and I was mad at me, she'd give me things like this too."
48,"Your birthday is on the same day every year. Wow, that's easy to remember. Moon prayer night is held at different times each year, so I can only estimate my birthday by sensing the moon. A birthday is such a joyous occasion, isn't it? Everyone gathers to dance while people make delicious offerings to give you. Huh? Regular people's birthdays aren't like that. Gifts, cake, and... friends? Oh, that works too. Let's invite your friends to celebrate. I can sing you a song. And we can even ask Malaus to paint a picture for you."
49,"By the eternal moon, the tides shall search."
50,"By the frost moon, the night shall be eliminated."
51,"By the iridescent moon, darkness shall be cast deeper into the shadows."
52,"I now hold the threads of fate in my hands. From now on, the new moon shall watch over and illuminate the world below."
53,"Flow."
54,"Surge."
55,"Wind."
56,"A new moon rises!"
57,"Three moons converge!"
58,"A moonlit night for all!"
59,"They call this a pleasant surprise, right?"
60,"Hmm. Did they run from home, too?"
61,"You keep them. I no longer need offerings."
62,"Getting dizzy."
63,"It's growing dark."
64,"Not doing so well."
65,"Feeling woozy? Allow me to step in."
66,"How about some rest?"
67,"The night sky dims once more."
68,"The moon has waned."
69,"The price is leaving home."
70,"I'm fine."
71,"Uh!"
72,"Why!"
73,"Allow me to lend you some moonlight."
74,"Will we be gone long?"
75,"I will follow where you lead."
