0,"Hi, I'm Layla, a Rathawa student. Oh, sorry, I didn't sleep well last night, so I'm a bit out of it today. What did you say again? You want to team up with me? No, no, no, it's not that I don't want to, I'm just not sure my crazy sleep schedule will really work for you, but I guess I look forward to working with you."
1,"Even when we're not licking up at the stars, they're always there. Ah, watching over us."
2,"My legs are so sore. I guess I must have been sleepwalking last night again."
3,"Aww. Why do I have to write so many papers? Why?"
4,"Oh, the weather's terrible. Shoot, if I can't see the sky tonight. Ugh, I really can't put off my start mapping homework any longer."
5,"Ugh, the snow is sparkling. Ah, just like the stars in the night sky."
6,"Mmm, the sun's making me so sleepy. Okay, let me grab a pillow and rest my eyes before this wears off. It's been two days since I last last. The last..."
7,"Ah, scorching hot days and freezing cold nights, I-I-I don't think I'm gonna make it."
8,"Did you get enough sleep? Ah, if you're still tired, you should go back to sleep for a bit. Me? Ah, I'm... Yes, do it."
9,"Ah, I'm in the middle of a stellar kinematics calculation right now. Just go to lunch without me. Ah, wait, this angle isn't right. No, no, no, shoot! How far in was I when this mistake crept in?"
10,"I'm going to turn it early tonight. Hope I can actually get to sleep. Dear mighty God of wisdom, please bless my slumber, I pray. Okay, close my eyes now."
11,"Right, let's see what stump daylight lay low this time. Hmm, she hasn't touched a third-year-old starlock yet. They definitely need working through. And there's a few charts to be appended to the midterm report, which... Yep, she hasn't even started drawing up yet. All right, time to get to work. Uh-huh? What are you doing up? You should be asleep right now. Me? Sleep blocking, of course."
12,"Ah, according to my textbook, using theoretical astrology to solve specific problems in our daily lives should not be our primary goal. But whether we should or not, the real reason nobody does it is that, well, it's just, it's not worth the effort. When we do a prediction, we usually have to use multiple celestial globes and consult at least one whole year's worth of star charts to get any precise answers. To go through all that, just to find out whether the price of spices will go up tomorrow? I mean, it's just not worth it."
13,"Since I found something I like and that I'm good at, I think I should try and stick with it. Even if the journey is difficult and even if the competition is fierce and even if there's no guarantee I'll graduate and even if I have to return on my scholarships if I fail my final exams. Maybe I should just drop out and go back home."
